element	occurrence frequency
machine translation and classifiers	1
delexicalized dependency parsers	1
sms based interface	1
spokesman	1
a modular and highly efficient text processing framework	1
a discrete cvae	1
the lexicon markup framework	1
a knowledge delivery system	1
speech recognition packages	1
hierarchical attention neural networks and support vector machine	1
mncd	1
the omnia project	1
task-oriented dialogue generation systems	1
the character-based crf segmenter	1
the mllp-upv supervised machine translation systems	1
an ml dependency parser	1
bi-lstm	1
continuous and discrete language embeddings	1
using a lstm-attention model	1
natural language database interface	1
open ie	1
a pipeline framework	1
phrasal generator	1
google web 1t 5-grams made easy (but not	1
itg transition rnn	1
sogou neural machine translation systems	1
a basic language resource kit	1
lvcsr	1
an automated framework	1
an editorial network	1
in-car spoken dialogue system	1
a suite	1
a protocol	1
an intelligent flashcard application	1
chained classifiers	1
politeness systems	1
diaml and anvil	1
uplugweb--corpus tools	1
a discrete hard em approach	1
modified finite newton method support vector machines	1
a fast and portable realizer	1
an unsupervised co-reference detection system	1
online conditional random fields	1
a bilingual system	1
synchronous-cfg driven statistical mt	1
the liga (lig/lia) machine translation system	1
a simpler and more generalizable story detector	1
spiqa	1
crfs and vector space representations	1
phylogenetic tools	1
language resource management system	1
wctanalyze	1
programs	1
the european parliament interpreting corpus (epic)	1
parallel corpus search tools	1
the strategic computing program	1
parliamentary protocols	1
twitter (pit)	1
an effective and robust framework	1
clinical nlp	1
linguistic suite	1
a reconfigurable stochastic tagger	1
two multimodal interfaces	1
prolog-based bottom-up parsing system	1
tactical nlg	1
adaptive transformers	1
a paraphrasing system	1
ian	1
an empirically-based system	1
a joint named-entity recognizer	1
a formal semantic parser	1
a partial document retrieval system	1
multi-step ensemble neural network	1
contextualized embedding	1
auto-correlational neural networks	1
a hybrid machine translation system	1
unsupervised multilingual sentence embeddings	1
exploration improves a greedy stack lstm parser	1
rdfa editor	1
ilp based multiple chunk aligner	1
the trec experience	1
ancient greek wordnet	1
uneven margins svm and perceptron	1
strategy and implementation	1
concept networks	1
self-attentive residual decoder	1
the item search engine	1
tmu japanese-english neural machine translation system	1
factual memory networks	1
the evaluation of conversational dialogue systems	1
speech dialog systems	1
a semi-supervised stable variational network	1
multi-lingual constraint system	1
a multi-domain framework	1
from a constrained english pos tagger	1
an annotation type system	1
the concept dictionary implementation	1
a single qa system	1
utterance rewriter	1
a robust event recognizer	1
cuni and lmu systems	1
the talp-upc machine translation systems	1
recursive neural conditional random fields	1
cascaded classifiers	1
document-level transformer	1
a stylistic and content-based classifier	1
zero-shot cross-lingual dialogue systems	1
an abstract generation system	1
text classification neural networks	1
the cass technique	1
squad	1
maximum margin reward networks	1
semantic web applications	1
a two-level system	1
a high recall error identification tool	1
improve multilingual partial parsers	1
sgml	1
crfs and precision grammars	1
tts systems	1
rouge	1
a dom tree alignment model	1
oaqa at bioasq 5b	1
a scalable mmr approach	1
multiple character embeddings	1
the iso data category registry	1
neural responding machine	1
educational systems	1
automatic data selection and neural network	1
the osu system	1
memory-enhanced decoder	1
bionlp 2011	1
a woz study	1
ebmt practical	1
neural character embeddings	1
sighan-8	1
semantic clustering and convolutional neural network	1
a practical incremental learning framework	1
evomsa and ?tc	1
nxt search	1
a web-retrieval-based image caption generation system	1
the ibm 1 translation model	1
residual cnn-lstm network	1
a switching dynamical system	1
the netviz terminology visualization tool and the use cases	1
a temporally sensitive submodularity framework	1
the nyu system	1
sql database interface	1
the russian national corpus (rnc)	1
hypergraph attention networks	1
machine translation at wmt 2019	1
latent structure perceptron	1
using a multi-channel cnn-lstm model	1
locally-trained word embeddings	1
distributional semantic embedding	1
neural cross-lingual coreference resolution and its application	1
an automatic close copy speech synthesis tool	1
agent-aware dropout dqn	1
an italian surface realizer	1
multi-modal recurrent neural networks	1
verbal fields	1
feed-forward neural networks	1
original semantics-oriented attention and deep fusion network	1
a sentiment detection engine	1
sequence-to-sequence rnns and beyond	1
a knowledge-aware sequence-to-tree network	1
attention-based multi-perspective convolutional neural networks	1
suis--cross-language ontology-driven information retrieval	1
scene graph embeddings	1
sounds wilde. phonetically extended embeddings	1
an interactive rewriting tool	1
an evidence based earthquake detector	1
hindi machine translation system	1
dublin core and marc 21	1
two hundred sentiment analysis systems	1
the textcoop platform	1
an existing text understanding system	1
the cmu-haifa system	1
pos tagset design	1
dynamic environments	1
an inference chain-based gpt model	1
anglabhart-ii architecture	1
share text revision across languages and improve mt a posteriori	1
stringnet	1
automatic annotation suggestions and custom annotation layers	1
a knowledge-based tutorialsystem	1
wide-coverage nlp	1
hyperbolic knowledge graph embeddings	1
multi domain word2vec	1
tell bert that death is not necessarily informative	1
neural network classifiers	1
a chinese discourse marker tagger	1
semsim	1
slot-consistent nlg	1
high quality elmo embeddings	1
a hybrid dependency parser	1
the psi/phi architecture	1
neural chess engine	1
biomedical chinese-english clir	1
siamese networks	1
experiments and observations at rte-3	1
a telugu dialogue system	1
the gem dtd	1
a stochastic parts program and noun phrase parser	1
permanent magnetic articulograph (pma) vs electromagnetic articulograph (ema)	1
an open source framework	1
policy networks	1
an online topic modeling framework	1
cluttered environments	1
a url language model segmentation approach	1
a post-editing interface	1
pronominal anaphora resolution without a parser	1
improve the evaluation of grammatical error detection systems	1
the lemlat 3.0 package	1
l2 translation assistance	1
simple and effective curriculum pointer-generator networks	1
a personalized data-to-text support tool	1
ice-gb	1
posterior regularized em	1
e-commerce system	1
a data transformer interface	1
robust and scalable differentiable neural computer	1
free open-source software packages	1
a graphical pronoun analysis tool	1
hyperbolic embeddings	1
japanese framenet	1
lstm approach	1
exretriever	1
the spoken dutch corpus (cgn)	1
decoder	1
a linear baseline classifier	1
self-attentional models application	1
hfst-twolc	1
the coda system	1
proposed architecture	1
dual attention transfer network	1
neural machine translation at nmt-2018	1
inductively-learned word pronunciation systems	1
text level graph neural network	1
the rgnlp machine translation systems	1
modality-controlled environments	1
a symbolic and sub-symbolic integrated system	1
transportable natural-language interfaces	1
triplet network	1
build an extendable and portable ie-based summarisation system	1
a generalised hybrid architecture	1
statistical spoken dialogue systems	1
prosody/parse scoring and its application	1
a generic anaphora resolution engine	1
the mt-in-the-middle attack	1
dependency tree-based srl	1
an lcs-based approach	1
network	1
swedish framenet	1
using crfs	1
medline	1
wikipedia named entities based wordnet	1
a predictive sinhala text input system	1
a domain adaption word segmenter	1
pre-trained language representations and minimal task-specific architecture	1
a hybrid cnn-lmtgru network	1
an ontology and word embeddings	1
context-based twitter embeddings	1
modular resource development and diagnostic evaluation framework	1
operation-guided neural networks	1
the checker	1
an nlg system	1
hpsg-style	1
the unix natural language help system goethe	1
an hmm-based method	1
cross-lingual joint entity and word embedding	1
a new tool	1
the 2008 acl workshop	1
an authorship tool	1
a grammar formalism and parser	1
an experimental text-to-speech system	1
a plot advice agent	1
valence information and application	1
hands-on nlp	1
an integrated environment	1
incremental transformer	1
semi-supervised teacher-student architecture	1
mqm-dqf	1
graph convolution networks	1
scholarly document processing (sdp)	1
gazetteer-enhanced attentive neural networks	1
fine tuning bert	1
a general optimization framework	1
an innovative platform	1
co-stack residual affinity networks	1
kernel graph attention network	1
english translation system	1
an svm classifier	1
a conditional random field word segmenter	1
an adaptable task-oriented dialog system	1
the project inel	1
intelligent conversational agents	1
smt at wat 2017	1
character-level word embeddings	1
the international standard linguistic annotation framework	1
elan and a case study	1
a summarization system	1
continuous speech recognition at dragon systems under the darpa sls program	1
query-directed sparse transformer	1
a rule-based human interpretation system	1
ner performance	1
the laix systems	1
two successive bidirectional gated recurrent networks	1
monolingual word alignment and neural embeddings	1
table filling multi-task recurrent neural network	1
gated relevance network	1
a grammar and a parser	1
geta-run	1
a machine translation system lute	1
a combinatorial framework	1
a bi-lstm-cnn model	1
the candide system	1
the relhunter approach	1
ensemble recurrent neural network	1
a unified system	1
amharic part-of-speech tagger	1
the niutrans machine translation system	1
webcoop	1
naist-cmu at wat2016	1
eosc	1
lstm autoencoders	1
conversational word embedding	1
a noisy channel model framework	1
an automatic scoring system	1
the lincoln tied-mixture hmm csr system	1
a novel joint framework	1
cross document co-reference resolution applications	1
global-to-local neural networks	1
shared encoder and language-specific decoders	1
a unified linear-time framework	1
a knowledge-based system	1
the generalised perceptron	1
neural network architectures	1
a python natural language processing toolkit	1
the xle experience	1
word-context character embeddings	1
man vs. machine	1
the system	1
kunlp grammatical error correction system	1
predpatt and open ie	1
japanese advertising slogan generator	1
a wordnet-based approach	1
georal tactile	1
wcdg	1
a three-step deterministic parser	1
tgi+.2 classifier	1
enhanced embeddings	1
aidarabic a named-entity disambiguation framework	1
linguistic networks	1
large-scale text retrieval systems	1
a hybrid parser	1
knowpipe	1
svms perform better than rnns	1
an interactive speech-to-speech translation system	1
the dcu system	1
a logic-based government-binding parser	1
omnifluent english-to-french and russian-to-english systems	1
english-hindi smt	1
a cross-entropy based generative adversarial network	1
atlas content management system	1
adversarial deep averaging networks	1
a segmental recurrent neural network	1
turkish and an annotation environment	1
long short-term memory-networks	1
the lingo grammar matrix customization system	1
multimedia blog creation system	1
an lstm approach	1
a bert case study	1
multi-granularity interaction network	1
features-rich crf	1
a multi-domain environment	1
the wysinnwyg approach	1
nlp frameworks	1
an open architecture	1
intelligent artificial agents	1
multiplicative tree-structured long short-term memory networks	1
a probe and a parser	1
at the lexicon-grammar interface	1
wcfg	1
parsec	1
qa semantic parsers	1
the webvectors toolkit	1
exemplar encoder-decoder	1
discriminative classifiers	1
multilayer recurrent networks	1
language-independent hybrid mt	1
ner systems	1
standard arabic machine translation system	1
a short answer grading system	1
recursive lstm tree representation	1
bupt systems	1
collaborative graph network	1
embodied artificial agents	1
the twin personality-based recommender system	1
an amharic text-to-speech system	1
extended named entity recognition api and its applications	1
evaluate non-treebank parsers	1
a probabilistic parser	1
hmm-lr method	1
coreference resolution system	1
page-based documents within the genre and multimodality framework	1
a tv drama	1
shalt2- a symmetric machine translation system	1
me and svm	1
informal word identification and paraphrasing system	1
recurrent positional embedding	1
two-step classifiers	1
a conversational interface	1
context-aware word embeddings	1
a unified syntax-aware framework	1
database systems	1
a general architecture	1
design automatic mood detection systems	1
hyperspherical relation embeddings	1
crfs and perceptrons meet neural networks	1
crf and logistic regression	1
stochastic answer networks	1
a statistical mt approach	1
an automatic trend exploration system	1
neural constituency parsers	1
clp2012	1
type-based mcmc	1
arabic text classifiers	1
the nl2kr platform	1
the ravenclaw dialog management architecture	1
the pasta web system	1
entity-consistent end-to-end task-oriented dialogue system	1
a distributed cloud-based dialog system	1
large-scale real time nlp systems	1
ultradense word embeddings	1
an interactive fiction system	1
web data and the em algorithm	1
annotations and tools	1
fine-tune bert	1
atr-slt system	1
a minimalist nmt toolkit	1
cascaded semantic and positional self-attention network	1
language resources and annotation tools	1
a trapper protocol	1
a multi-task baseline system	1
attention-based lstm	1
linguistically informed relation extraction and neural architectures	1
pos n-gram profiles and high-dimensional embeddings	1
a subcategorization acquisition system	1
system	1
a dependency-driven parser	1
attention and lexicon regularized lstm	1
the kmp algorithm	1
an arabic morphological analyzer and generator	1
weighted lexical networks	1
acoustic word embeddings	1
a large-scale nl query system	1
croatian word embeddings	1
a practically-focussed undergraduate program	1
a sick cure	1
an open environment	1
iness search	1
speech comparison	1
arabic word embeddings	1
bilstm and svr ensemble	1
hierarchical networks	1
2d convolutional neural networks	1
procedures and tools	1
robotreviewer	1
the epireader	1
chunk-based decoder	1
a generative probabilistic ocr model	1
speech phrasebook translator	1
ie rule development	1
jointly learning representations and label embeddings	1
attentive bilstms	1
metamind neural machine translation system	1
ict-nlp	1
mc-tag	1
character neural embeddings	1
the princeton wordnet	1
autodirective microphone systems	1
a label informative wide \& deep classifier	1
corenet	1
the jirs passage retrieval system	1
high recall open ie	1
rnn encoder-decoder networks	1
multidialectal word embeddings	1
conditional random fields and na\"\ive bayes classifiers	1
the owlexporter	1
commercial implementation	1
back propagation neural network	1
a generative adversarial network	1
a software	1
an hnm based scheme	1
glove	1
using a bert and cnn-bilstm-gru model	1
the 1998 dri working group	1
an hpsg	1
a lexical simplification tool	1
chinese input system	1
an itg	1
identify reuse transformations and its application	1
a model-theoretic framework	1
discriminative transfer parsers	1
a web-based english abstract writing tool	1
multi-purpose development and operation environments	1
graph-to-graph transformer	1
tag-enhanced tree-structured neural networks	1
phrase embeddings	1
confused supervised lda	1
a nlg-based application	1
the jhu parallel corpus filtering systems	1
english mt	1
the open framework	1
all	1
1999 joint sigdat conference	1
recurrent neural networks and word embeddings	1
random permutations (earp)	1
galaxy-ii	1
word re-embedding	1
language independent transliteration system	1
a unified pos tagging architecture and its application	1
a lexical network	1
automatically bootstrapping a persian wordnet	1
automatic post editing system	1
data management plan (dmp)	1
attention-based graph neural network	1
review opinion diversification (revopid-2017)	1
openlogos and google translate	1
a transparent framework	1
context-sensitive neural lemmatizer	1
the evaluation of tts systems	1
a three-layer architecture	1
biaffine classifiers	1
the blark concept and blark	1
a contextual hierarchical attention network	1
enhance mongolian-chinese smt	1
the paradise evaluation framework	1
intelligent tutoring systems	1
smt and vice versa	1
multi-domain multi-modal dialogue system	1
a knowledge graph-based question answering and infor-mation retrieval system	1
the transcheck system	1
the thumbs up! twente system	1
edit machines	1
a tool/database interface	1
a question answering application	1
an online e-learning tool	1
structured svm ensemble classification models	1
and	1
universal dependencies v2	1
american norwegian speech (cans)	1
ros	1
a unified learning framework	1
generative bridging network	1
the replay-dh client	1
a common parts-of-speech tagset framework	1
graph module network	1
subword-augmented embedding	1
rapid development of interactive spoken interfaces	1
a map task dialogue system	1
the cultural heritage of the eu	1
a prank call rejection system	1
a character-based nmt approach	1
reversible nlp	1
a dynamic semantics system	1
mixture density networks	1
a generative parser	1
a hierarchical translation memory	1
model-based word embeddings	1
beam-search incremental parsers	1
component-based multimodal dialog interfaces	1
idea unit embedding	1
coupled hierarchical transformer	1
stagewise fine-tuning bert	1
discriminative phrase embedding	1
attentive neural networks	1
the finite-state formalism idarex	1
pre-trained bert	1
tagger	1
construct statistical dialogue systems	1
an improved earley parser	1
model and applications	1
cross-domain ner	1
an efficient and effective online sentence segmenter	1
a state-independent and time-evolving network	1
the argument workbench	1
topic templates and structured convolutional decoders	1
the hit-scir system	1
a fully-lexicalized japanese parser	1
bbn valad	1
single-model encoder-decoder	1
a distributed environment	1
rule- and neural network-based information extraction systems	1
distributional neural networks	1
a universal system	1
a robust abstractive system	1
lig system	1
stanford part-of-speech tagger	1
an evolving escience environment	1
a rule-based machine translation system	1
two heterogeneous gated recursive neural networks	1
hybrid named entity recognition system	1
a smart system	1
hierarchical attentive heterogeneous graph network	1
indonesian-japanese clir	1
feature systems	1
the mllp-upv spanish-portuguese and portuguese-spanish machine translation systems	1
dynamic virtual environments	1
a state-transition framework	1
a document management system	1
multimodal nlg	1
arabic morphological analyzer	1
grammatical framework (gf)	1
a stratificational mt-system	1
object-oriented neural programming (oonp)	1
a hand-crafted parsing system	1
syntactically supervised transformers	1
siamese bert-networks	1
a sat-solver	1
wordnet ilr	1
simple parser	1
improved evaluation framework	1
conditional sequence generative adversarial nets	1
statistical-based system	1
boost centroid text classifier	1
a bootstrapped probabilistic classifier	1
an object-oriented linguistic engineering environment	1
cyclic consistency based product review generator	1
a fast boosting-based learner	1
a recurrent neural network architecture	1
nrc machine translation system	1
the se/cm perspective	1
alep	1
multi-head attention transformers	1
a probabilistic modeling framework	1
the nite workbench. a tool	1
multiple parsers	1
a rule-based morpho-semantic analyzer	1
lstm voting system	1
intractable parsers	1
japanese-russian tmu neural machine translation system	1
a convex ibm model 2	1
agenda-based semantic parsers	1
cascaded lexicalised classifiers	1
a non-connectionist molecular machine	1
an ocr system	1
the parlance mobile application	1
distributional inclusion vector embeddings	1
rst	1
two darpa speech and natural language programs	1
tts applications	1
k-nn	1
convolution-enhanced bilingual recursive neural network	1
bidirectional lstm over dependency paths	1
bi-lstm neural networks	1
a spoken recommendation system	1
lorelei	1
a wikipedia-lda model	1
limited domain systems	1
cuni multilingual matrix	1
domain knowledge empowered structured neural net	1
graph transformers	1
art	1
sequence similarity networks	1
a language-independent anaphora resolution system	1
covid-19 twitter chatter	1
an intelligent multilingual information browsing and retrieval system	1
an interactive poetry generation system	1
the regulus development environment	1
a generator-evaluator framework	1
the cmu/interact arabic gale transcription system	1
two bengali dependency parsers	1
the webcoop experiment	1
hierarchically-refined label attention network	1
document-based recommender system	1
key-value retrieval networks	1
attentive convolutional neural network	1
a vocal dialogue system	1
multi-instance multi-label convolutional neural networks	1
a context-aware natural language generator	1
multiplex word embeddings	1
asr	1
deep attention-based neural networks	1
from framenet	1
ensemble gradient boost tree classifier	1
an efficient two-pass decoder	1
a multilingual phonological resource toolkit	1
an adaptive web application	1
the qarla framework	1
abstract machine	1
a new text engineering platform	1
dialogue based question answering system	1
multi-level gated recurrent neural network	1
a portable natural language front end	1
the lmu system	1
an lfg parser	1
an interleaved e-book reading tool	1
a shallow neural network	1
deep learning system	1
hypernet	1
prototype machine translation system	1
rdf and sparql	1
the igen generator	1
conceptnet	1
a sentiment analysis framework	1
semantic framework	1
a speech dialogue system	1
an mt learning environment	1
character-based psmt	1
text generation applications	1
lightweight annotation and adjudication tools	1
korean framenet	1
a question-answering engine	1
hybrid semi-markov crf	1
lstm neural reordering feature	1
various haitian creole text- and speech-based nlp systems and applications	1
transs-driven joint learning architecture	1
target-sensitive memory networks	1
the gretel treebank query application	1
a multi dimension capsule network	1
cuni systems	1
a svm-based model	1
relevant semantic trees and semcor senses frequency	1
a statistical spoken dialogue system	1
a xml-based tool	1
machine translationand an english classifier	1
an example-based system	1
an e-learning environment	1
multi-hop selector network	1
multimeteo	1
a concatenative text-to-cued speech system	1
domain-agnostic non-slot reduction and pretrained contextual embeddings	1
the dcc project	1
low rank fusion based transformers	1
healthcare (lre 62-007)	1
oz driven prototyping framework	1
lfg (lexical functionnal grammar) and cg (conceptual graphs)	1
mona	1
speech-based information retrieval system	1
a technical question answering system	1
an embedding	1
semi-supervised conditional random fields	1
adversarial framework	1
real-valued syntactic word vectors (rsv)	1
a multi-level semantic processor	1
a syntax-aware multi-task learning framework	1
birzeit arabic dialect identification system	1
a constituent-centric neural architecture	1
the pdtb and ccr frameworks	1
the 2nd workshop	1
gated embeddings	1
a conditional random field-based traditional chinese base phrase parser	1
a hybrid tool	1
parameter-free sentence embedding	1
a computer-based glaucoma consultation system	1
the pax toolkit	1
an automatic plagiarism detection system	1
densely connected graph convolutional networks	1
a lightweight and efficient tool	1
an interactive hypermedia tool	1
bidirectional lstm network	1
dependency path embeddings	1
entity-balanced gaussian plsa	1
czeng 1.0	1
fst morphology	1
a labelled analytic theorem proving environment	1
a chinese writing correction system	1
vallex 1.0	1
a pipeline system	1
voice-driven interfaces	1
large vocabulary speech recognition applications	1
your self-driving car	1
a multi-lingual multi-task architecture	1
sxlfg	1
rapidly deploying a neural search engine	1
covid-19 literature topic-based search	1
a part-of-speech tagger	1
a transition-based multi-task parser	1
a flexible menu-based controlled natural language system	1
graph memory networks	1
attention-based lstms	1
a noun phrase parser	1
kb retriever	1
active production networks	1
latent structured alignments and abstract programs	1
seeded lda	1
attention-based deep neural networks	1
100 american sign language signs produced	1
hmm-lda	1
english-chinese clir	1
financial text data analytics framework	1
a statistical nlg framework	1
the pluto project	1
biomedical knowledge graph embeddings	1
average meta-embedding	1
an online computational framework	1
some novel applications	1
conversational dialogue systems	1
a lightweight evaluation framework	1
an attention-based lstm model	1
a lexicon-based sentiment analysis system	1
arabert	1
answer localization system	1
sci-bert stacked	1
a statistically-derived phonetic network	1
effectively pretraining a speech translation decoder	1
dico ii+	1
bert and glove embeddings	1
bidirectional recurrent convolutional neural network	1
a discourse commitment-based framework	1
a crf model and lexical resources	1
large smt data-sets extracted	1
from resource maintenance (blark)	1
a unified architecture	1
greek transliteration system	1
iso 1951	1
massively multilingual sentence embeddings	1
a discourse signal annotation system	1
skip-gram word embeddings	1
program input parsers	1
a word segmentation system	1
a three-stage disfluency classifier	1
a mixed-initiative conversational dialogue system	1
a narrative composition support environment	1
a weighted semantic network	1
superocr	1
a network-based writing system	1
an online learning environment	1
a versatile framework	1
speaker-based attribute selection and trainable realization (attr)	1
a modelling system and a test suite	1
a deep parser	1
a unicode-based environment	1
using a cnn-lstm model	1
1993 methodology	1
pre-trained transformer	1
an open-source auditory periphery modeling toolkit and evaluation	1
an ide	1
phrasebook-style medical speech translation applications	1
an unsupervised em method	1
lexicalised tag	1
the paninian framework	1
hmm alignment model and crf	1
a text-based search interface	1
knowledge graph augmented neural networks	1
hierarchical transformers	1
bilstm-attention and lstm-attention	1
a two-stage parser	1
the metal system	1
a decision tree classifier	1
a sentence compression based framework	1
a multilingual regular expression segmentor	1
multilingual faq assistant	1
attention-based bi-lstm model	1
multilayered lstm	1
a hybrid back-transliteration system	1
sentiment bearing word embeddings	1
synchronous linear context-free rewriting systems	1
polnet 3.0	1
an improved non-monotonic transition system	1
an erp-based brain-computer interface	1
a computational syntax and its application	1
the clef experience	1
a broad-coverage parser	1
a one-shot semantic parser	1
ga-ilmt	1
an interactive japanese parser	1
a multilingual framework	1
nl-soar	1
a cyber security event collection system	1
tctract-a collocation extraction approach	1
character-level representations improve drs-based semantic parsing even	1
a speech-to-speech translation system	1
a natural language oriented virtual human architecture	1
a generic collaborative platform	1
a discriminative candidate generator	1
a self-learning system	1
a bi-lstm approach	1
attention-based neural networks	1
nmf and linkage-based refinement	1
improve performancein a bottom-up parser	1
a fully unsupervised parser	1
augment cmu alignment algorithm	1
gather language-classified urls. workflow and case study	1
gru neural network	1
tibaq	1
the news personalization system	1
wmt-metricsmatr 2010	1
hidden markov random fields	1
the xerox linguistic environment	1
species into wordnet	1
sighan 2015	1
a baseline temporal tagger	1
a post-editing workbench	1
rdf and owl/dl	1
statistical morph analyzer (sma++)	1
vision-and-language bert	1
the apertium spanish-brazilian portuguese machine translation system	1
generalized discrimination networks	1
ntealan dictionaries platform	1
the general architecture	1
an adaptive agent	1
a library	1
transition-based parser and iterative inference parser	1
english spoken language translation system	1
open data kit (odk)	1
maltparser	1
the properties and further applications	1
a linear regression framework	1
task-oriented word embedding	1
financial word embeddings	1
a phrase-based system	1
hungarian morpheme-based statistical machine translation system	1
a tree kernel-based unified framework	1
corpora and tools	1
independent classifiers	1
an interactive programming system	1
multi-unit transformers	1
a scalable architecture	1
a semantic search engine	1
background and applications	1
an incremental framework	1
simple dynamic word embeddings	1
a statistical nlp approach	1
feature-based model versus convolutional neural network	1
interpolated plsi	1
the textract information extraction system	1
improve smt-based paraphrasing model	1
the namic approach	1
an error analysis tool	1
entity linking within a social media platform	1
a hybrid deep learning architecture	1
parallel interactive networks	1
a computational workflow system	1
computational environments	1
kimmo systems	1
failure transducers and applications	1
a simple spoken dialogue system	1
a stochastic decoder	1
(1)	1
aut document alignment framework	1
the right tools	1
panlingua-kmi mt system	1
finite state tools	1
a coreference corpus and resolution system	1
blcu personal attributes extraction system	1
the sphinx speech recognition system	1
a telephone-based spoken dialog system	1
multi-level memory networks	1
attention-based bi-directional gru model	1
a parallel recurrent neural network	1
an automatic speech understanding system	1
a message processing system	1
a crf approach	1
word segmentation systems	1
a translation aid system	1
deep feature fusion network architectures	1
austkin ii	1
deep recurrent generative decoder	1
svms and a rich feature set	1
the tei encoding scheme	1
tree adjoining grammars systemic framework	1
neural relation classification architectures	1
a naive bayesian classifier	1
a principle-based parser	1
lexicon integrated convolutional neural networks	1
a cross-linguistic look at the v2-phenomenon	1
sub-words towards small nmt children	1
dual constrained question embeddings	1
prolog (chip)	1
knowledge base embeddings	1
multi-channel bilstm-crf model	1
the mllp-upv german-english machine translation system	1
human centered nlp	1
automated feature-based system	1
korean-chinese-japanese multilingual wordnet	1
interactive text-to-sql	1
a situated dialogue system	1
lmu bilingual dictionary induction system	1
a data-centric framework	1
synonymy and homonymy networks	1
an extended lr parsing algorithm	1
a robust self-learning framework	1
coarse lexical frame acquisition at the syntax--semantics interface	1
nlg meeting weather industry demand	1
a stratified lookup interface	1
ai werewolf agent	1
toolkits	1
an nlp-based reading tool	1
a text editor application	1
a medical dialogue system	1
a neural-crf approach	1
implicitly-defined neural networks	1
the d-spin text corpus format and its relationship	1
multi-sense embeddings	1
a rule-based question answering system	1
speech system	1
an attribute-grammar implementation	1
a parlog implementation	1
ukb is inadvertently state-of-the-art	1
unsupervised rewriter	1
a bidirectional-lstm approach	1
an enhanced tool	1
an hpsg-annotated test suite	1
structural attention neural networks	1
a voice enabled procedure browser	1
language-based environment	1
opennmt	1
compositional phrase embeddings	1
attributed and predictive entity embedding	1
a client/server architecture	1
an end-to-end generative architecture	1
adversarial training and graph embeddings	1
an interactive academic text revision system	1
the c\&c parser	1
a modularized text-to-speech framework	1
cnn and gru network	1
the cmu spoken language understanding system	1
the formalism of gpsg	1
morphocom	1
a virtual assistant interface	1
virtual human dialogue systems	1
pegwriting®	1
1-0 transformation form	1
adversarial networks	1
persuasive nlp	1
an lr category-neutral parser	1
a language detection system	1
a gradient boosting-seq2seq system	1
a sequence decoder	1
smtpost	1
a grammar development environment	1
dedicom	1
accurate semantic class classifier	1
free-ordered cug	1
separate head-tail cnn	1
a position-aware bidirectional attention network	1
spoken language dialogue systems	1
a hierarchical translation system	1
a constituency treebank annotation tool	1
an ontology based architecture	1
mobile wireless clients	1
gradient boosting machines	1
linked disambiguated distributional networks	1
the plato paradigm	1
a speech dialog system	1
a rhetorical status classifier	1
the multitag example	1
jhu system combination scheme	1
a statistical framework	1
analog implementations	1
a computer question-answering system	1
clarin-dk	1
deft	1
the illinois-columbia system	1
a biomedical literature indexing tool	1
hierarchical lstms	1
sighan bakeoff 2012	1
a dp-based search	1
hierarchical tree lstms	1
distant supervision and sentiment-specific word embeddings	1
a fast decoder	1
agora. multilingual multiplatform architecture	1
a cross-framework and cross-language test-suite generation tool	1
webexperimenter	1
a multi-source trainable parser	1
a document-level smt system	1
multiple conditional random fields	1
character aligned models at news 2009	1
a text processing system	1
graph community detection and bio-bert embeddings	1
multiple dialogue agents	1
the arcade ii project	1
cips-sighan joint conference	1
variable memory	1
an insight extraction system	1
a spoken tutorial dialogue system	1
a maxent-lda hybrid	1
a deterministic dependency parser	1
a caption generation system	1
approaches and applications	1
a web-based evaluation tool	1
a support tool	1
a pos-based model	1
serverless architectures	1
term set expansion based nlp architect	1
an efficient indexer	1
a software system	1
sms	1
virtual environments (give)	1
an ntu-approach	1
an automatic tool	1
a document retrieval system	1
syntactic smt	1
indirect-hmm-based hypothesis alignment	1
frame embeddings	1
hindi machine transliteration system at news 2009	1
task oriented agents	1
the niutrans system	1
a hybrid constituency-dependency parser	1
web-based interfaces	1
machine-aided translation tool	1
a bilingual context mining and sentiment analysis summarization system	1
a tree-structured long short-term memory	1
a wordnet	1
a graphical evaluation tool	1
character-based recurrent neural networks	1
l2 english	1
subgraph embeddings	1
nlp and public engagement	1
pos and rmwe	1
some applications	1
aligned dual channel graph convolutional network	1
the trec 2002 question answering track	1
order embeddings	1
a distributed platform	1
work within the w3c internationalization activity and its benefit	1
the meta-net framework	1
triangular architecture	1
a conversational system	1
concept pointer network	1
jeseme	1
??????????????????(a recurrent interactive attention network	1
neural crf autoencoder	1
factored smt	1
the carl kolchak hyperpartisan news detector	1
the columbia system	1
an interactive web-based user interface	1
ocr evaluation tools	1
an extensible toolkit	1
neural grammatical error correction systems	1
a context-theoretic framework	1
quality estimation features and compositional bilingual word embeddings	1
double-chained conditional random fields	1
deep neural networks and word embeddings	1
deep markov neural network	1
a two-stage masked lm method	1
the simsi project	1
word and document embedding	1
a finite-state framework	1
a web-framework	1
a practical speech-to-speech translator	1
a speech interface	1
token-level dynamic self-attention network	1
relational graph convolutional network	1
the babelnet api	1
a representative suite	1
a four-participant group facilitation framework	1
both word-level and sentence-level attention network	1
entity-aware dependency-based deep graph attention network	1
dialogue knowledge transfer networks	1
embedding grammatical features into lstms	1
